Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Summary,Distributors,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20709728f03e934b87875b15a001c74c5f.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Grade, Master Score",Not Completed
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md)","Document, Forum Post, General WG Score, Grade",Not Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%200735b827ba6d46b3a0b69241944b06cd.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%204a71c61c988847dc8540022235694566.md)","General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a9ea3a4ccdfd4673b6c0c5e014e45143.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Marketing,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md)","Document, Forum Post, General WG Score, Grade",Not Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20709728f03e934b87875b15a001c74c5f.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a2d56bb0de7344cbbe8f0e61278bf390.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
HR Report,HR,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%2016/Council%20Period%2016/HR%20Score%203a0598bd7d8f446d985038f19c9474f3.md),"Group Specific Scores, Subscore",Data input - grading req
Storage Report,Storage,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%2016/Council%20Period%2016/Storage%20Score%201541aca324c7405c9ac67b3d45afa65c.md),"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",Data input - grading req
