Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,,,,,,,,,,,,No,0,,Completed,Subscore,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Plan, Subscore",,,,,,,,,Yes,https://dao.joystream.org/#/forum/thread/47,,PLAN_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md),,,,,,No,0.7,,Completed,Subscore,No,,,,,,,
Builder Score,"Composite Grade, Master Group Score",,,,,,,,,,,,BUILDER_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.677,,Completed,Main Score,No,,,,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md), Builders Report (Council%208/Council%20Period%208/Builders%20Report%20301e641ef5ad483daa10423737f00aba.md), Testing (Council%208/Council%20Period%208/Testing%201f2e65c5ec0242a68bdbffd64d6a8c68.md), Pioneer Development (Council%208/Council%20Period%208/Pioneer%20Development%20fbcc896221ee423faa6149a318c23b6c.md), General Development (Council%208/Council%20Period%208/General%20Development%20128f66749aa2478d80e6e835d312e3a1.md)",,
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,Forum,,,,,,,,,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),,,,,,No,0.3,,Completed,,No,,,,,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2029422c5ac7c54855ad4213b9ce11a5c9.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%2017500885936f492394b74eee2475bffc.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20aecf3d00d26d4d4c810e9703e9c29c1e.md)",,
Maintenance,Grade,,,,,,,,,,,,MAINTENANCE_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,,,,,,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),,,,,,No,1,,Completed,Subscore,No,,,,,,,
Lead Opportunities,Grade,,,,,,,,,,,,LEAD_OPPORTUNITIES_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.167,,Completed,Main Score,No,,,,,,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,,,,,,,,,,,,No,,,Completed,Subscore,No,,,,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,,,,,,,,,,,,No,0,,Completed,Subscore,No,,,,,,,
WG Period Plan,"Document, Forum Post, Plan",,,,,,,,https://dao.joystream.org/#/forum/thread/126,Yes,,,PLAN_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),,,,,,No,1,Basically Perfect,Completed,,No,,817456,1652980956000,,,,
Council Period Summary,"Document, Forum Post, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/137,,https://dao.joystream.org/#/forum/category/4,,SUMMARY_SCORE,Council,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,1,Basically Perfect,Completed,Main Score,No,,852559,,,,,
