Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Deadline [block],JSG Grading Status
Research Score,Storage,RESEARCH_SCORE,0,,,,"Group Specific Scores, Subscore",,Completed
Research Score,Distributors,RESEARCH_SCORE,0,,,,"Group Specific Scores, Subscore",,Completed
Testing,Builders,TESTING_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),"Grade, Group Specific Scores, Spot Check, Subscore",,Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),"Grade, Group Specific Scores, Spot Check, Subscore",,Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),"Grade, Group Specific Scores, Spot Check, Subscore",,Completed
Featuring Score,Content,FEATURING_SCORE,0.183,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),"Group Specific Scores, Subscore",,Completed
Moderation Score,Forum,MODERATION_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),"Grade, Group Specific Scores, Spot Check",,Completed
Moderation Score,Content,MODERATION_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Total Breaches of Policy (Council%2010/Council%20Period%2010/Total%20Breaches%20of%20Policy%20d61a5b54dfbb4244a177fe751864c979.md),Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),"Group Specific Scores, Subscore",,Completed
Response Time,HR,RESPONSE_TIME_SCORE,0.875,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),"Group Specific Scores, Subscore",,Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,0.667,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),"Group Specific Scores, Subscore",,Completed
