Property,average_size bytes,id,objects_num,total_size bytes
,6944,2165,1,6944
,102230985,2086,94,9609712610
,273917,2501,4,1095670
,200818992,2050,34,6827845752
,17100789,2341,18,307814205
,2165159,2482,8,17321273
,229363,2348,4,917454
,5050382,2222,8,40403061
,466972,2446,4,1867888
,352901,2413,4,1411605
,665066,2405,4,2660266
,4204801,2461,4,16819207
,53446994,2177,14,748257921
,1589294,2347,4,6357178
,1185311,2383,4,4741246
,3011456,2557,8,24091649
,6669940,2150,11,73369347
,3003601,2625,8,24028810
,66047896,2033,9,594431064
,1055255,2468,6,6331534
,27498,2340,2,54996
,4793570,2369,6,28761424
,2159618,2319,4,8638475
,4538784,2303,3,13616352
,120946682,2648,4,483786728
,36273656,2043,7,253915593
,4242954,2311,6,25457725
,23958614,2154,198,4743805590
,46270,2329,2,92540
,4758486,2042,112,532950540
,3621483,2473,4,14485935
,28367,2016,2,56734
,40070743,2087,244,9777261477
,3163563,2474,4,12654252
,1055206,2463,6,6331238
,233639,2588,4,934559
,927669,2495,4,3710679
,303831620,2156,18,5468969175
,3583729,2603,14,50172207
,1420308,2524,4,5681235
,40579533,2041,4,162318133
,8894531,2106,5,44472658
,214026,2502,6,1284156
,16247,2237,2,32494
,524095,2373,6,3144572
,26572,2019,2,53144
,6883475,2114,4,27533903
,60373405,2153,268,16180072595
,1068906,2431,4,4275625
,69787421,2046,56,3908095599
,6613135,2255,4,26452540
,1095978,2504,10,10959784
,29062379,2123,6,174374276
,332030,2500,6,1992182
